,Parcelas,count,mean,std,min,25%,50%,75%,max
0,1,96479.0,160.83048300666468,220.9987228166222,0.0,62.045,105.38,177.14,13664.08
1,2,2382.0,173.5114147774979,269.2665647841954,9.59,58.8575,102.80000000000001,176.31,4194.76
2,3,301.0,126.32461794019933,120.8638764986057,17.380000000000003,55.39,84.59,148.68,818.4
3,4,108.0,103.45648148148146,74.45188493706453,21.81,56.7625,86.195,120.885,553.26
4,5,52.0,129.07153846153844,109.0520995542707,19.349999999999998,65.3875,98.25,151.5275,666.71
5,6,36.0,185.8386111111111,277.4686406698219,19.0,64.3925,97.445,150.8125,1338.41
6,7,28.0,228.5407142857143,304.93268356011725,34.0,69.17,132.64,263.735,1436.46
7,8,11.0,130.8990909090909,169.43737117026726,33.94,42.605000000000004,86.12,126.255,622.08
8,9,9.0,188.12222222222223,162.19215192001255,33.989999999999995,107.84,121.68,189.07999999999998,565.5799999999999
9,10,5.0,107.50399999999999,36.769918819600356,67.61999999999999,87.01,90.66,137.99,154.24
10,11,8.0,162.64,83.59402541877192,77.07,93.6675,142.315,214.76749999999998,317.8
11,12,8.0,246.06,293.8937039135067,20.85,68.3725,90.00999999999999,353.265,879.4399999999999
12,13,3.0,132.13666666666668,47.51090225762222,102.22000000000001,104.745,107.27000000000001,147.095,186.92
13,14,2.0,315.06,303.33466699340516,100.57000000000001,207.815,315.05999999999995,422.30499999999995,529.55
14,15,2.0,413.875,462.2852003363292,86.99,250.4325,413.875,577.3175,740.76
15,19,2.0,144.235,86.98120515375722,82.73,113.4825,144.235,174.9875,205.74
16,21,1.0,161.32,,161.32,161.32,161.32,161.32,161.32
17,22,1.0,40.85,,40.85,40.85,40.85,40.85,40.85
18,26,1.0,62.68,,62.68,62.68,62.68,62.68,62.68
19,29,1.0,457.99,,457.99,457.99,457.99,457.99,457.99
